act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги між буд. № 104 та 106),48.51369132920164,32.27982004418359,КП «Благоустрій» МРМК»,шовковиця діам. 35-40 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 115),48.51485772617381,32.26964191209184,КП «Благоустрій» МРМК»,липа діам. 25-30 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
"№ 3658
 від 22.03.18","м. Кропивницький вул. Олександрійська, 29",48.51105492799901,32.27967572349447,КП «Благоустрій» МРМК»,акація діам. 50-55 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Олександрійська, 29"
"№ 3658
 від 22.03.18","м. Кропивницький вул. Єгорова, 5",48.5086813699685,32.2731568263615,КП «Благоустрій» МРМК»,акація діам. 125-130 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Єгорова, 5"
1,1,932.9940967206884,493.00384436119043,1,1,1,1,1,False,1,1,1
"№ 3658
 від 22.03.18","м. Кропивницький вул. Карабінерна, 30",48.511778326232026,32.28296891614388,КП «Благоустрій» МРМК»,клен діам. 25-30 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Карабінерна, 30"
"№ 3658
 від 22.03.18","м. Кропивницький вул. Карабінерна, 30",48.500227958549594,32.2797808984784,КП «Благоустрій» МРМК»,акація діам. 25-30 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Карабінерна, 30"
"№ 3658
 від 22.03.18","м. Кропивницький вул. Карабінерна, 30",48.50120057020202,32.28069294145165,КП «Благоустрій» МРМК»,акація діам. 25-30 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Карабінерна, 30"
"№ 3658
 від 22.03.18","м. Кропивницький вул. Карабінерна, 25",48.51540890271298,32.27023071380817,КП «Благоустрій» МРМК»,клен діам. 35-40 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Карабінерна, 25"
"№ 3658
 від 22.03.18","м. Кропивницький вул. Покровська, 47",48.50619722192232,32.280545570974255,КП «Благоустрій» МРМК»,акація діам. 30-35 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Покровська, 47"
"№ 3658
 від 22.03.18",м. Кропивницький сквер ім. Олександра Кондакова,48.51117628955902,32.26699018633577,КП «Благоустрій» МРМК»,абрикос діам. 25-30 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький сквер ім. Олександра Кондакова
"№ 3658
 від 22.03.18",м. Кропивницький сквер ім. Олександра Кондакова,48.51571211932104,32.26816330760037,КП «Благоустрій» МРМК»,тополя діам. 30-35,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький сквер ім. Олександра Кондакова
"№ 3658
 від 22.03.18",м. Кропивницький сквер ім. Олександра Кондакова,48.50431085037982,32.26920791433544,КП «Благоустрій» МРМК»,тополя діам. 30-35,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький сквер ім. Олександра Кондакова
"№ 3658
 від 22.03.18",м. Кропивницький сквер ім. Олександра Кондакова,48.50227883857641,32.267963059972054,КП «Благоустрій» МРМК»,береза діам. 20-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький сквер ім. Олександра Кондакова
"№ 3659
 від 02.04.18","м. Кропивницький вул. Віктора Чміленка, 109-а (у дворі)",48.49801637290855,32.27991443475526,КП «ЖЕО № 2» Міської ради міста Кропивницького,клен діам. 60-65 см,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Віктора Чміленка, 109-а"
