,Unnamed: 0,act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
105,105,"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 115),48.508184,32.2735111,КП «Благоустрій» МРМК»,липа,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
106,106,"№ 3658
 від 22.03.18","м. Кропивницький вул. Олександрійська, 29",48.5053778,32.283218,КП «Благоустрій» МРМК»,акація,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Олександрійська, 29"
107,107,"№ 3658
 від 22.03.18","м. Кропивницький вул. Єгорова, 5",48.5149113,32.2701432,КП «Благоустрій» МРМК»,акація,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Єгорова, 5"
108,108,"№ 3658
 від 22.03.18","м. Кропивницький вул. Карабінерна, 30",48.5071466,32.276214,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Карабінерна, 30"
109,109,"№ 3658
 від 22.03.18","м. Кропивницький вул. Карабінерна, 30",48.5071102,32.2762811,КП «Благоустрій» МРМК»,акація,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Карабінерна, 30"
110,110,"№ 3658
 від 22.03.18","м. Кропивницький вул. Карабінерна, 25",48.5078623,32.2774128,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Карабінерна, 25"
111,111,"№ 3658
 від 22.03.18","м. Кропивницький вул. Покровська, 47",48.5012835000059,32.27470179999922,КП «Благоустрій» МРМК»,акація,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Покровська, 47"
112,112,"№ 3658
 від 22.03.18",м. Кропивницький сквер ім. Олександра Кондакова,48.50793300000859,32.262607,КП «Благоустрій» МРМК»,абрикос,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький сквер ім. Олександра Кондакова
113,113,"№ 3658
 від 22.03.18",м. Кропивницький сквер ім. Олександра Кондакова,48.50793300000904,32.262914,КП «Благоустрій» МРМК»,тополя,2,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький сквер ім. Олександра Кондакова
114,114,"№ 3658
 від 22.03.18",м. Кропивницький сквер ім. Олександра Кондакова,48.507933000007725,32.262176000000004,КП «Благоустрій» МРМК»,береза,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький сквер ім. Олександра Кондакова
115,115,"№ 3659
 від 02.04.18","м. Кропивницький вул. Віктора Чміленка, 109-а (у дворі)",48.5053339,32.27683680000095,КП «ЖЕО № 2» Міської ради міста Кропивницького,клен,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Віктора Чміленка, 109-а"
116,116,"№ 3660
 від 02.04.18","м. Кропивницький вул. Казанська, 13",48.5655535,32.2261637,Управління освіти,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Казанська, 13"
117,117,"№ 3661
 від 02.04.18","м. Кропивницький пров. Херсонський, 4",48.49387249999596,32.28105580000021,КП «Благоустрій» МРМК»,липа,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,"м. Кропивницький пров. Херсонський, 4"
118,118,"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.529287,32.245476399999994,ГУ ЖКГ МР МК,верба плакуча,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
